date,site,depth,temp,cond,do,ph,sal,secchi,hardness,nitrate,nitrite,ammonia,orthop,tp,turb,chlora1,chlora2,frozen
7/29/2018,1,1,30.32,943,9.85,9.92,0.46,21,,,,,,,,77.2,80.16,yes
7/29/2018,1,1,29.13,955,9.05,8.7,0.47,21,,,,,,,,72.76,88.37,yes
7/29/2018,1,1,28.46,946,9.26,9.87,0.46,26,,,,,,,,76.08,76.49,yes
7/29/2018,1,1,28.55,946,8.52,9.91,0.46,23,,,,,,,,77.9,70.68,yes
7/29/2018,1,1,28.59,918,8.44,9.8,0.44,20,,,,,,,,92.52,91.71,yes
7/29/2018,1,1,28.66,971,9.13,9.96,0.48,21,,,,,,,,70.58,70.98,yes
7/29/2018,2,1,29.26,837,8.73,8.95,0.41,22,,,,,,,,72.53,77.78,yes
7/29/2018,2,1,29.64,528,4.15,8.78,0.26,27,,,,,,,,66.14,84.02,yes
7/29/2018,2,1,29.83,801,8.38,8.02,0.39,25,,,,,,,,96.07,95.25,yes
7/29/2018,2,1,29.77,723,7.92,7.85,0.35,27,,,,,,,,111.1,85.47,yes
7/29/2018,2,1,29,979,9.19,9.14,0.48,23,,,,,,,,70.77,77.61,yes
7/29/2018,2,1,29.18,986,9.1,9.47,0.48,24,,,,,,,,87.76,84.87,yes
8/29/2018,1,1,30.51,1082,10.7,9.2,0.53,19,,,,,,,,88.39,88.13,yes
8/29/2018,1,1,30.38,1084,11.4,9,0.53,14,,,,,,,,80.85,78.67,yes
8/29/2018,1,1,30.19,1097,11.32,10.08,0.54,16,,,,,,,,100.38,94.38,yes
8/29/2018,1,1,30.23,1094,11.73,10.17,0.54,14,,,,,,,,95.37,96.29,yes
8/29/2018,1,1,29.58,1080,9.82,10.04,0.53,19,,,,,,,,119.23,104.37,yes
8/29/2018,1,1,29.59,1082,10.35,10.01,0.53,17,,,,,,,,96.01,95.8,yes
8/29/2018,2,1,31.5,1087,12.36,10,0.53,15,,,,,,,,88.18,84.08,yes
8/29/2018,2,1,31.23,1080,12.81,10.22,0.53,13,,,,,,,,74.23,73.69,yes
8/29/2018,2,1,31.64,1094,11.09,9.89,0.53,14,,,,,,,,96.86,96.13,yes
8/29/2018,2,1,31.34,1088,11.85,10.22,0.53,14,,,,,,,,86.85,88.76,yes
8/29/2018,2,1,31.62,1083,11.57,9.23,0.53,16,,,,,,,,90.64,96.69,yes
8/29/2018,2,1,31.29,1083,12.77,10.33,0.53,11,,,,,,,,82.03,87.33,yes
9/28/2018,1,1,27.72,1509,10.61,9.88,0.75,22,,,,,,,,74.72,82.28,yes
9/28/2018,1,1,28.02,1511,10.78,10.35,0.75,17,,,,,,,,106.54,72.24,yes
9/28/2018,1,1,27.74,1523,10.14,10.21,0.76,19,,,,,,,,91.65,85.75,yes
9/28/2018,1,1,27.74,1495,10.14,10,0.75,19,,,,,,,,78.53,84.26,yes
9/28/2018,1,1,27.69,1482,9.4,9.65,0.74,19,,,,,,,,82.39,86.68,yes
9/28/2018,1,1,27.46,1476,9.51,9.89,0.74,18,,,,,,,,93.39,95.78,yes
9/28/2018,2,1,27.45,1777,8.2,8.62,0.89,17,,,,,,,,88.69,84.35,yes
9/28/2018,2,1,27.3,2333,7.8,7.45,1.19,17,,,,,,,,73.9,83.19,yes
9/28/2018,2,1,27.47,1527,9.1,9.33,0.76,15,,,,,,,,84.78,83.03,yes
9/28/2018,2,1,27,2328,9.58,8.34,1.19,14,,,,,,,,83.49,82.23,yes
9/28/2018,2,1,27.65,1550,8.78,9.56,0.77,15,,,,,,,,68.58,81.59,yes
