,,,,,Outside Panel 1 Start,,,Inside Panel,,,Outside Panel 2 End,,,Outside Cage,,,
Site,Latitude,Longitude,Label,Trt,Val,Najas,Lilly,Val,Najas,Lilly,Val,Najas,Lilly,Val,Najas,Lilly,Notes
3,35.4824,-76.27374,A1,control,0,0,0,0,0,0,0,0,0,0,0,0,
3,35.4824,-76.27374,A2,Val,1,0,0,1,0,0,1,0,0,0,0,0,
3,35.4824,-76.27374,A3,Val + Lilly,1,0,0,1,0,1,1,0,0,0,0,0,
3,35.4824,-76.27374,A4,Najas + Lilly,0,0,0,0,1,1,0,0,0,0,0,0,
3,35.4824,-76.27374,A5,All,1,0,0,1,1,1,0,0,0,0,0,0,
3,35.4824,-76.27374,A6,Lilly,0,0,0,0,0,1,0,0,0,0,0,0,
3,35.4824,-76.27374,A7,Najas,0,0,0,0,1,0,0,0,0,0,0,0,
2,35.48083,-76.27618,B1,control,0,0,0,0,0,0,0,0,0,0,0,0,
2,35.48083,-76.27618,B2,Val,1,0,0,1,0,0,1,0,0,0,0,0,
2,35.48083,-76.27618,B3,Val + Lilly,1,0,0,1,0,1,1,0,0,0,0,0,
2,35.48083,-76.27618,B4,Najas + Lilly,0,0,0,0,1,1,0,0,0,0,0,0,
2,35.48083,-76.27618,B5,All,0,0,0,0,0,1,0,0,0,0,0,0,
2,35.48083,-76.27618,B6,Lilly,0,0,0,0,0,1,0,0,0,0,0,0,
2,35.48083,-76.27618,B7,Najas,0,0,0,0,1,0,0,0,0,0,0,0,
12,35.47101,-76.26912,C1,control,0,0,0,0,0,0,0,0,0,0,0,0,
12,35.47101,-76.26912,C2,Val,1,0,0,1,0,0,1,0,0,0,0,0,Val roots only
12,35.47101,-76.26912,C3,Val + Lilly,0,0,1,1,0,1,0,0,1,0,0,0,"Lilly roots only, covered most of cage"
12,35.47101,-76.26912,C4,Najas + Lilly,0,1,0,0,1,0,0,1,0,0,0,0,"small amount of Najas outside of panel, none in quadrat"
12,35.47101,-76.26912,C5,All,1,0,0,1,1,0,1,0,0,0,0,0,Val roots only
12,35.47101,-76.26912,C6,Lilly,0,0,0,0,0,0,0,0,0,0,0,0,
12,35.47101,-76.26912,C7,Najas,0,0,0,0,1,0,0,0,0,0,0,0,Najas grew really well
8,35.47021,-76.26749,D1,control,0,0,0,0,0,0,0,0,0,0,0,0,
8,35.47021,-76.26749,D2,Val,1,0,0,1,0,0,1,0,0,0,0,0,
8,35.47021,-76.26749,D3,Val + Lilly,1,0,0,1,0,0,1,0,0,0,0,0,"mowed down, roots and short leaves present"
8,35.47021,-76.26749,D4,Najas + Lilly,0,1,0,0,1,1,0,1,0,0,0,0,Najas grew really well
8,35.47021,-76.26749,D5,All,1,1,0,1,1,1,1,1,0,1,0,0,"Val and Najas both grew really well; a few shoots of Val growing outside of cage, none in outside quadrat"
8,35.47021,-76.26749,D6,Lilly,0,0,0,0,0,1,0,0,0,0,0,0,
8,35.47021,-76.26749,D7,Najas,0,1,0,0,1,0,0,1,0,0,0,0,
